address,total_supply,volume_24h,total_volume,market_cap,market_cap_change_24h,creator_earnings,days_since_created,unique_holders,transfers,comments_sentimental_score,roi
0x6864917549d1fa7d753feeeb6f4e867bd91477c7,1000000000,0,0.02,6308.04,0,5.92E-08,49,4,17,0,0.04883342
0xac8dfcaa0bcc4c2419a1c8ba268cb1c32e8ce7b6,1000000000,0,4.1,6307.89,0,1.24E-05,47,4,10,0,0.020870345
0x5768e5c948e7cd564a22ee136744707d4d825a17,1000000000,0,8.34,6307.86,0,2.46E-05,47,36,47,0.570318162,0.020398318
0x4ec2aea4720feda4a5dbe7239154ec75b481ebbb,1000000000,0,0.03,6307.65,0,9.95E-08,49,3,4,0.526771605,-0.010606088
0x9baee447940dfb462b0f4df2d402685bf9407efb,1000000000,0,1649.49,6307.61,0,0.00160308,49,6,26,0,-0.008456034
0xfd5f1d980e56a615ffddaf622349fe75e3dfc755,1000000000,0,8.51,6307.6,0,3.10E-05,48,4,7,0.334906101,0.020398318
0x5392c614b237c42c595f696254202ec16da47954,1000000000,0,0.31,6307.59,0,1.10E-06,47,2,4,0,0.04883342
0xa29af5f22623631b6eb432fe4b5a77ef4ac73d61,1000000000,0,1.38,6307.37,0,4.97E-06,47,2,4,0,0.17957963
0x3446d2a31dbed9b05d3ca8f069d9273c7f673a6a,1000000000,0,0,6307.15,0,9.95E-09,47,2,4,0,0.422433208
0x60907274da71457ddfff06052c32bee2ac3f754c,1000000000,0,0.28,6307.11,0,9.95E-07,47,2,4,0,0.481412162
0x900576e1da9541ec37f18bd37e6e84c9278ff47b,1000000000,0,0,6306.87,0,9.95E-09,47,3,4,0,0.063965527
0xb04cf1bdb9f1f3e726317fabefac7eb3bbcd2199,1000000000,0,0.39,6306.77,0,1.39E-06,47,2,4,0,-0.059215439
0x491be8260ac377755a1dbb70fb566a60dd7e7ada,1000000000,0,0.31,6306.28,0,1.10E-06,47,2,6,0,-0.143430249
0x7ae9825c072127e70283a7336b648b1ea9681ad2,1000000000,0,0.28,6306.09,0,9.95E-07,47,2,4,0,0.008657928
0x4a3d82d36a34e1e0e2fa4ffb245dd767c3041b81,1000000000,0,0.07,6305.74,0,2.51E-07,47,3,5,0,0.17957963
0xa8b0870946e122d220aef6d3c9b956d38cb092f6,1000000000,0,2.7,6305.7,0,0.001443268,49,3,9,0,-0.817939145
0xbd648bd18a5fedd3370a79633ed813d67bce0c26,1000000000,0,2.76,6305.14,0,9.95E-06,47,2,4,0,0.020398318
0xbbf83e69cfbf4da96369db1f205b448aef52be00,1000000000,0,2.76,6305.14,0,9.95E-06,47,2,4,0,0.004631022
0x4e555c1d0c09c241166c788267cf03e9dc157d67,1000000000,0,0.27,6304.97,0,9.95E-07,47,2,6,0,-0.131813013
0x0c4e11e024d2c08c5513c8bfaa4e6cf77e2d59ef,1000000000,0,0.06,6304.61,0,1.99E-07,47,2,4,0,-0.022972033
0x58a0522999c040df64ea1b2137fb97da5ca3e643,1000000000,0,0.61,6304.5,0,1.63E-06,47,3,17,0,0.052835346
0xa0358889387f9120717e7091fa09079be74b3076,1000000000,0,0.01,6304.48,0,2.97E-08,47,4,16,0,-0.134806028
0x5a452f792685890691bcb216b6d88f0f882a9a6c,1000000000,0,0.03,6304.46,0,9.95E-08,47,2,6,0,-0.001688905
0x94e0aa4558597f58c93e1c2adabf7d519a19571b,1000000000,0,8.28,6303.87,0,2.98E-05,47,3,4,0,-0.008903567
0xda4ef00b69fa7c0c8d6633f4999daa13c353513f,1000000000,0,1.22,6303.61,0,4.42E-06,47,2,6,0,0.01149701
0xce8a71fac8fcfeea219d7d32311b681c17584990,1000000000,0,1.64,6303.57,0,6.17E-06,48,4,6,0,-0.131813013
0xcbb3466740f19dba887d38b04f44fdb0af73f641,1000000000,0,0,6303.51,0,9.95E-09,47,3,4,0,0.019486984
0x339209c8357e483590161275b31d1d4f9ee7a906,1000000000,0,0.03,6303.48,0,9.95E-08,47,2,4,0,0.020870345
0x2e0b24ec01d273883bd30153c74109c2ba323502,1000000000,0,0.72,6303.33,0,2.69E-06,47,5,7,0,0.038215271
0x2a98ed0f95e06f55eeae7adc72a30ba676a5413f,1000000000,0,0.27,6303.16,0,9.95E-07,47,2,6,0,-0.157755296
0x67ec290534ded924d36673decb4da2af20b5679c,1000000000,0,0.03,6302.93,0,9.95E-08,47,2,6,0,-0.157755296
0x92ea952fba6a797dcd55a6dd2456c4c4d5291671,1000000000,0,0.01,6302.89,0,2.96E-08,47,4,10,0,0.023989374
0xff2f0adc3a7c809c3d0e647cdeb4ed0c247e5ad9,1000000000,0,0.02,6302.88,0,1.09E-07,47,4,11,0,-0.045235328
0x6693d8fd9db13b0b7fa2aed50157e6202ff977dc,1000000000,0,0,6302.88,0,9.95E-09,47,2,4,0,0.207961778
0x9c6eeab5dee7179cd47699926618c84b837ff51b,1000000000,0,0.14,6302.74,0,4.97E-07,47,2,6,0,0.043112875
0xc8e6d42a6b790dee6d297b34d705a09d9793bfc0,1000000000,0,0.03,6302.66,0,9.95E-08,47,2,6,0,0.000394267
0x46c8e4c6f5897ab3cff08e4043f262e95c0e475d,1000000000,0,0.03,6302.66,0,9.95E-08,47,2,6,0,83.23904197
0x630f25bd9fa1290e44accab53a9c19c2a7eca592,1000000000,0,0.33,6302.28,0,1.21E-06,47,2,5,0,0.048103775
0x6decd543bafc81c5357b6ba1078b9d065245981b,1000000000,0,1.15,6302.25,0,0.000247172,48,9,36,0.482508436,-0.753116946
0x0a484e73cf4c299738de5506c7b856a9655c6cf6,1000000000,2316.09,2316.09,5304.06,5304.064251,0.004721233,0,58,262,0.448805735,0.03044569
0x4fe17db36c64db9e2583bce194322f4e016df102,1000000000,3083.13,3083.13,4966.95,4968.075701,0.00513246,0,63,246,0.453005552,0.01149701
0xa8eb42318ceb6f5434c8d6eac7e6ab188047f1c9,1000000000,1086.39,1086.39,4947.42,4947.417365,0.002509413,0,7,24,0.366938621,-0.001609507
0xd2a01d7e30726d0f457588fee8f784507914a927,1000000000,2120.98,2120.98,4937.86,4937.856405,0.004813895,0,24,140,0.255271778,0.048058574
0xd9ef48d567066c03e41e4dfd7b68a9e24211534e,1000000000,706.25,706.25,4293.58,4293.578292,0.002223416,0,19,61,0.363215139,0.026228273
0x15bbaee64e924c719cec3c5a7b2aeaaf9d72afc0,1000000000,0.19,0,4348.66,4242.376124,9.95E-07,25,2,4,0,-0.159525494
0xa036c03a3c08b3d45cf8b6f494afb8989777b534,1000000000,672.68,672.68,4204.63,4204.629178,0.001505542,0,6,16,0,0.045270817
0xc4f478a5be86450fab7420e03b2d3d989f4487b0,1000000000,0.02,0.02,4246.57,4194.26,1.09E-07,46,3,4,0,0.154836144
0xe5408c8b34f410905c8a5985784cf4a8aba81ee4,1000000000,682.13,682.13,4173.14,4173.144231,0.001553204,0,11,30,0.355052307,-0.361859184
0x74a544d04d44f6c145e3e8e203c6f7a80a138cc7,1000000000,1440.88,1440.88,4165.22,4165.221974,0.002760997,0,9,53,0,-0.040279342
0x45a6fa87842eab0e764eb186afe7e63d778bf13a,1000000000,637.77,637.77,4163.56,4163.518326,0.001505084,0,4,15,0,0.038215271
0xf8b3e331a625c776101d3d935a35b22438b8d669,1000000000,696.52,696.52,4112.05,4111.643296,0.014422338,0,11,28,0.60034734,0.005352698
0xd678358dd613a47ca421f422a835f953c787c349,1000000000,716.54,716.54,4084.12,4083.854643,0.027438699,0,10,25,0,0.023762857
0x6d03fe25e707104c6869e17d3baeac2cbb1babbe,1000000000,596.07,596.07,4045.46,4045.421283,0.001357007,0,21,39,0,-0.028732251
0x6291ab4b0ec5d5c0738e6da2bcb457539639eb4a,1000000000,509.17,509.17,4036.91,4036.502816,0.001360893,0,14,25,0.445453038,-0.122422604
0x5f81956b62190af2523bc8005ded4e009f5d8c3e,1000000000,557.69,557.69,3998.47,3998.868165,0.001253852,0,6,23,0,-0.157755296
0x45a69c39a1e6a460888f3afa1370dfae73f86e6e,1000000000,0,0,3988.29,3988.289086,0,0,3,13,0,0.025466781
0x91493a88544fc727219278db1d1be55c10fd4dd0,1000000000,571.3,571.3,3985.91,3985.884709,0.001256152,0,13,30,0.44181978,-0.004693554
0xf47513a855cc3cf13b778fc6018e268776df5d54,1000000000,574.71,574.71,3985.42,3985.415892,0.001258676,0,8,18,0.479294509,0.061906603
0x28f6516f5ce68336816f23d61c4c68ae121a7807,1000000000,565.37,565.37,3983.54,3983.535221,0.00125199,0,5,15,0,0.043112875
0xa9851154b383328e4c3edae06e7f5bf12d8dd22e,1000000000,0.26,0.26,3971.51,3971.508489,1.10E-06,0,2,14,0,0.007343585
0x33b26d123d3b1c08b7a7ca76f66b42aa60529346,1000000000,553.57,553.57,3970.49,3970.491603,1.10E-06,0,3,14,0,0.029651109
0x8ba35bce4617c018504a94466a935b9faa666b85,1000000000,563.09,563.09,3957.45,3957.448669,0.001250171,0,5,15,0,0.069235256
0xc642df6c4cb5a50984b85425a343e2f8616a2cd0,1000000000,571.04,571.04,3932.04,3931.644904,0.009927578,0,7,23,0,0.422433208
0x08141b2dfba853a9f2602bcab997284975a88b3e,1000000000,577.02,577.02,3931.59,3930.788415,0.026380865,0,25,48,0.540482029,0.011199464
0x60127fca4f28c8fb34b895f15bfa13bea9a020ad,1000000000,715.57,715.57,3914.34,3914.341753,0.061173977,0,7,29,0.459263921,0.052835346
0x31d85685b218ad193b1e826210632a683096adcc,1000000000,567.66,567.66,52.31,3893.265687,0.023330642,0,5,30,0,0.020398318
0x187e65d744c1dded1469b30054fbad3696202719,1000000000,606.2,606.2,3870.71,3870.714768,0.024146936,0,14,34,0,-0.000400258
0xf31d77ba01e291e729dcba0fa8c11786d4524952,1000000000,611.21,611.21,3804.68,3804.281501,0.058269268,0,6,22,0,0.023989374
